school_name	branch	country	pickup_location_1	fee_1	pickup_location_2	fee_2	pickup_location_3	fee_3	pickup_location_4	fee_4	pickup_location_5	fee_5	pickup_location_6	fee_6	pickup_location_7	fee_7	pickup_location_8	fee_8
Anglo Continental	Bournemouth	UK	London Heathrow Airport	80	London Gatwick Airport	260	London Stansted  Airport	340	London Luton Airport	365	Southampton Airport	145	Bournemouth Airport	70	-			
ATLAS Language School	Dublin	IR	Airport transfer	100														
ATLAS Language School	Liverpool	UK	Liverpool Airport	60	Manchester Airport	95												
ATLAS Language School	Malta	MT	Airport transfer	40														
Bright School Of English	Bournemouth 	UK	London Heathrow Airport	260	London Gatwick Airport	270	London Stansted  Airport	320	Bournemouth Airport	40	Southampton Airport	70	London Luton Airport	290	Central London Airport	280		
LSI	London	UK	Heathrow Airport	135	Gatwick Airport	165	Stansted Airport	165	Luton Airport	165	London City Airport	135						
LSI	Brighton	UK	Heathrow Airport	195	Gatwick Airport	115	Stansted Airport	255	Luton Airport	255								
LSI	Cambridge	UK	Heathrow Airport	220	Gatwick Airport	245	Stansted Airport	145	Luton Airport	160								
LSI	New York	US	New Yark Airport	195														
LSI	Boston	US	Logan International Airport	175														
LSI	San Diego	US	San Diego Airport	170														
LSI	Berkeley	US	San Francisco Airport	155														
LSI	Vancouver	CA	Vancouver International Airport	145														
LSI	Toronto	CA	Pearson International Airport	150														
LSI	Auckland	NZ	Auckland Airport	145														
LSI	Brisbane	AU	Brisbane Airport	165														
LSI	Paris	FR	Charles de Gaulle Airport	145														
LSI	Zurich	CH	Zurich Airport	165														
NCG New College Group	Manchester	UK	Manchester Airport	110														
NCG New College Group	Liverpool	UK	Liverpool Airport	80	Manchester Airport	160												
Future Learning Language School	Dublin	IR	Dublin Airport	80														
Future Learning Language School	Athlone	IR	Private Airport pick-up	295	Public Bus from airport to Athlone town centre	30												
Inlingua	Cheltenham	UK	Bristol (BRS) Airport 	165	Birmingham (BHX) Airport 	165	London Heathrow (LHR) Airport 	205	London Gatwick (LGW) Airport 	240	Stansted (STN) Airport 	240	Luton (LTN) Airport 	205				
Kings Hall College	Manchester	UK	Manchester Airport	85														
Lewis School of English	Southampton	UK	Southampton Airport	79	London Heathrow Airport 	173	London Gatwick Airport 	188	St Pancras Airport 	281	Bournemouth Airport 	121	London Stansted Airport 	260				
Bayswater	London	UK	Heathrow Airport	180	London City Airport 	135	Luton Airport 	215	Gatwick Airport 	235	Stansted Airport	225	St Pancras Airport 	105				
Bayswater	Liverpool	UK	Liverpool Airport	70	Manchester Airport	120	London Airports	525										
Bayswater	Brighton	UK	Gatwick Airport 	135	Heathrow Airport 	205	London City Airport 	245	St Pancras Airport 	245	Luton Airport 	255	Stansted Airport 	255				
Bayswater	Bournemouth	UK	Bournemouth Airport 	65	London Gatwick Airport	230	London Heathrow Airport 	210	Luton  Airport 	265	London Stansted Airport 	290						
Bayswater	Leeds	UK	Leeds Bradford Airport	100	Manchester Airport	150	Birmingham Airport	250	London Airports	350								
Bayswater	Vancouver	CA	Vancouver International Airport 	165														
Bayswater	Toronto	CA	Pearson International Airport	165														
Bayswater	Calgary	CA	Calgary International Airport 	150														
Bayswater	Pairs	FR	Orly Airport	€115	Charles de Gaulle Airport	€115	Any Paris Train Station	€90										
Bayswater	Cape Town	ZA	Cape Town International Airport 	60														
Bayswater	Limassol	CY	Larnaca Airport 	110	Paphos Airport 	110												
Stafford House	London	UK	Heathrow Airport	170	Gatwick Airport	190	Stansted Airport 	190	Luton  Airport 	190	London City Airport 	150	St Pancras Airport 	125				
Stafford House	Cambridge	UK	Heathrow Airport	250	Gatwick Airport	265	Stansted Airport 	155	Luton  Airport 	170	Cambridge City Airport 	210	St Pancras Airport 	255				
Stafford House	Canterbury	UK	Heathrow Airport	250	Gatwick Airport	200	Stansted Airport 	250	Luton  Airport 	270	Cantebury City Airport 	200	St Pancras Airport 	240				
Eurospeak Language School 	Southampton 	UK	Heathrow Airport	200	Gatwick Airport	200	Southampton Airport	85										
Eurospeak Language School	Reading	UK	Heathrow Airport	100	Gatwick Airport	150												
Regent 	London	UK	London Airport															
Southbourne School of English	Bournemouth	UK	Bournemouth Airport 	60	Southampton Airport	120	Heathrow Airport	220	Gatwick Airport	245	Luton  Airport 	265	London City Airport 	295	Stansted Airport 	295		
The Essential English Centre	Manchester 	UK	Manchester Airport	70														
Studio Cambridge	Cambridge	UK	London Heathrow Airport	205	London Gatwick Airport	250	London Stansted Airport	120	London Luton Airport	150								
